racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card,Salary,full_name,Age,Height,Weight
11.0,Handre,Pollard,South Africa,Fly,30.0,1.89,98.0,2013.0,Leicester,Premiership,13.0,8.0,0.0,5.0,13.0,0.0,105.0,961.0,Champions Cup,4.0,1.0,0.0,3.0,3.0,2.0,37.0,274.0,8.0,7.0,0.0,1.0,0.0,0.0,2.0,385.0,1,0,610000,Handre Pollard,,,
12.0,Tadhg,Beirne,Ireland,Utility Forward,32.0,1.98,114.0,2015.0,Leinster Rugby,United Rugby Championship,12.0,9.0,0.0,3.0,12.0,1.0,5.0,870.0,Champions Cup,5.0,1.0,1.0,3.0,5.0,0.0,0.0,400.0,14.0,11.0,0.0,3.0,0.0,5.0,25.0,1022.0,2,0,275000,Tadhg Beirne,,,
13.0,Damian,Willemse,South Africa,Utility Back,26.0,1.84,96.0,2016.0,Stormers,United Rugby Championship,9.0,7.0,0.0,2.0,8.0,1.0,8.0,666.0,Champions Cup,4.0,3.0,0.0,1.0,4.0,0.0,0.0,320.0,9.0,8.0,0.0,1.0,8.0,2.0,20.0,550.0,1,0,225000,Damian Willemse,,,
14.0,Jamison,Gibson-Park,Ireland,Scrumhalf ,32.0,1.75,80.0,2013.0,Leinster Rugby,United Rugby Championship,7.0,5.0,0.0,2.0,5.0,1.0,5.0,338.0,Champions Cup,8.0,7.0,0.0,1.0,8.0,5.0,25.0,593.0,10.0,8.0,0.0,2.0,9.0,3.0,15.0,627.0,0,0,275000,Jamison Gibson-Park,,,
15.0,Ben,Earl,England,Backrow ,26.0,1.86,102.0,2016.0,Saracens,Premiership,10.0,6.0,0.0,4.0,8.0,1.0,5.0,696.0,Champions Cup,3.0,1.0,0.0,2.0,3.0,0.0,0.0,221.0,18.0,11.0,0.0,7.0,17.0,4.0,20.0,1374.0,0,0,170000,Ben Earl,,,
16.0,Will,Skelton,Australia,Secondrow,32.0,2.03,145.0,2013.0,Stade Rochelais,Top 14,14.0,8.0,1.0,5.0,12.0,1.0,5.0,936.0,Champions Cup,6.0,3.0,0.0,3.0,6.0,1.0,5.0,405.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,169.0,3,0,490000,Will Skelton,,,
17.0,Finn,Russell,Scotland,Fly,31.0,1.82,93.0,2013.0,Bath Rugby,Premiership,16.0,11.0,0.0,5.0,15.0,0.0,155.0,1198.0,Champions Cup,5.0,3.0,0.0,2.0,5.0,0.0,9.0,330.0,11.0,5.0,0.0,6.0,11.0,0.0,55.0,851.0,0,0,1000000,Finn Russell,,,
18.0,Bundee,Aki,Ireland,Center,34.0,1.78,101.0,2013.0,Chiefs,United Rugby Championship,6.0,3.0,0.0,3.0,6.0,2.0,10.0,480.0,Champions Cup,3.0,1.0,0.0,2.0,3.0,1.0,5.0,240.0,11.0,8.0,0.0,3.0,11.0,5.0,30.0,869.0,0,0,275000,Bundee Aki,,,
19.0,Jordie,Barrett,New Zealand,Center,27.0,1.96,102.0,2016.0,Hurricanes,Super Rugby Pacific,13.0,10.0,0.0,3.0,12.0,5.0,41.0,931.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,3.0,10.0,1.0,13.0,683.0,0,1,250000,Jordie Barrett,,,
20.0,Ox,Nche,South Africa,Prop,29.0,1.76,123.0,2015.0,sharks,United Rugby Championship,10.0,4.0,0.0,6.0,7.0,2.0,10.0,468.0,Challenge Cup,8.0,7.0,0.0,1.0,8.0,3.0,15.0,490.0,14.0,12.0,0.0,2.0,6.0,0.0,0.0,551.0,0,0,225000,Ox Nche,,,
